"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000237125",199.778643597314,4.23647504664629,1.38195466919711,3.06556730193444,0.00217257475479973,0.0148506695790678
"ENSG00000125813",179.230701270892,3.96625195474124,1.63857111245538,2.42055527806655,0.0154968229571277,0.0473514034801124
"ENSG00000170166",173.951515950643,3.91291256164992,1.26849279453015,3.08469435421529,0.00203761431404939,0.0147458930621996
"ENSG00000175189",153.148630094963,3.50663746504343,1.30842308796143,2.68004859995775,NA,NA
"ENSG00000150244",517.530036411547,6.89825616358823,2.58909226153845,2.66435316580386,NA,NA
"ENSG00000249362",138.089269808493,3.32449330644733,1.35460592709049,2.45421435117141,0.0141192790426878,0.0452309753310542
"ENSG00000143869",127.290808334505,3.27901582646517,1.25891016204476,2.60464640394934,0.00919691194629341,0.032846114093905
"ENSG00000169297",331.758760013518,5.99777641874718,1.3396167291132,4.47723314318238,7.56166573107547e-06,0.000937916915505038
"ENSG00000215612",333.947480438501,5.87434011313193,1.33529903882295,4.39926933393892,1.08615957003787e-05,0.000937916915505038
"ENSG00000204963",131.215742882905,3.67241699523002,1.21125493680021,3.03191085844528,0.00243010956748382,0.0148506695790678
"ENSG00000108688",132.581430521288,3.43992092517135,1.41324271436385,2.43406238023296,0.0149304217522808,0.0466575679758776
"ENSG00000198028",299.258268664534,5.66597080835444,1.41865588877982,3.99390074306724,6.49950806037905e-05,0.0029789411943404
"ENSG00000273100",108.351372253566,3.41173767417843,1.34486340492129,2.53686557437267,NA,NA
"ENSG00000186493",220.78790742003,5.51701384495831,1.26841358829758,4.34953858572505,1.36424278618915e-05,0.000937916915505038
"ENSG00000230699",103.474574625082,3.43316316114125,1.36557942245844,2.51407066090712,0.0119346519047672,0.0405188799235923
"ENSG00000081842",106.973582106927,3.63409144492365,1.43406726299335,2.53411505771226,NA,NA
"ENSG00000287200",164.966129761391,4.91256860396712,1.41248433697313,3.47796324205228,NA,NA
"ENSG00000234354",133.546882782246,4.43015788041787,1.31015270351844,3.38140574646039,NA,NA
"ENSG00000170561",316.968841519458,6.39280415013909,1.31421342066621,4.86435768316718,1.14829094693893e-06,0.000315780010408204
