"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143196",8.71736791303829,-2.06518679145309,1.26349266095255,-1.63450636103904,0.102152571686203,0.15952380261994
"ENSG00000227017",6.92595851129254,-2.06008888218598,1.17962830338731,-1.74638814300269,0.0807435288785455,0.142336348984615
"ENSG00000231394",8.21798107504489,-1.99556216302545,1.47008935987964,-1.35744276333572,0.174640568311133,0.233136680997872
"ENSG00000233308",6.7722695532126,-1.87755900660021,1.43340632535596,-1.30985818423394,0.190243815401939,0.246367356770089
"ENSG00000261399",6.36430784149473,-2.4428517616674,1.40864024442481,-1.73419137450875,0.0828841328913614,0.143353060032229
"ENSG00000236212",3.74766224627189,-3.53367291332803,1.5836963956129,-2.2312817804706,0.0256624697622359,0.0672112303296654
"ENSG00000251363",3.6908301453694,-2.84479100740247,1.87589303427696,-1.51649958468925,NA,NA
"ENSG00000176040",7.47270226218402,-1.11422260072121,1.32528000009516,-0.840745050586446,0.40049077661084,0.430214701437426
"ENSG00000158485",11.0919573472411,-3.06468510517055,1.94440345083003,-1.57615699759342,NA,NA
"ENSG00000108255",6.31870540735088,-1.97904421423857,1.19813992358949,-1.65176385101131,0.0985827005337615,0.155805992222899
"ENSG00000231806",7.3341427950214,-1.89548041893763,1.19731880130353,-1.58310419653814,0.113397717285628,0.171342704689822
"ENSG00000273367",11.1020704889279,-2.17952041145526,1.16953346583857,-1.86358105613722,0.0623805599988923,0.120490421593923
"ENSG00000262267",6.84133474311123,-3.38196429277628,1.63634964238438,-2.06677363148887,0.0387554892441354,0.0895610045557751
"ENSG00000280693",9.43030096623676,-3.537463466261,1.76344641140261,-2.00599430943148,0.044856855138886,0.0963721497124505
"ENSG00000171346",12.4947802080733,-2.61676803885361,1.40563142160055,-1.86163171841589,0.0626550192288399,0.120490421593923
"ENSG00000185290",7.09741897429364,-1.79430381290615,1.19440529982349,-1.50225707569392,0.133030729602507,0.19254447705626
"ENSG00000048462",8.66346355266657,-1.55917240606546,1.29155783858899,-1.20720292926938,0.227354002637869,0.280369285764188
"ENSG00000251039",5.14223279351571,-4.62943386754428,1.93240763585771,-2.39568183319121,0.0165894835439131,0.0490549244578074
"ENSG00000251623",12.2655214529699,-2.70314411257049,1.2678782787308,-2.13202178625258,0.0330050555965323,0.0803220379561627
"ENSG00000285675",13.5454414243088,-2.39800835798036,1.53847733478889,-1.55868942866774,NA,NA
"ENSG00000211632",6.18867884694838,-1.63706539158607,1.86053448336253,-0.879889841454276,0.378918988408321,0.413502864334477
"ENSG00000095917",10.5404350465484,-3.15363902836969,1.30240490834796,-2.42139676237087,0.0154609919475795,0.0473514034801124
"ENSG00000258274",12.865413225833,-2.08882656757221,1.31114457787184,-1.59313214028819,NA,NA
"ENSG00000167941",8.96855190899519,-1.71110103976419,1.41585590822277,-1.20852766854787,0.226844359710105,0.280369285764188
"ENSG00000166391",4.64265786857866,-3.29685328132996,1.72910443224488,-1.9066825692244,0.0565617055170557,0.111103350122788
"ENSG00000255733",6.14377259405087,-4.28910362655337,1.78532822289397,-2.40241742193536,NA,NA
"ENSG00000266088",12.3681443528711,-3.02032120690855,1.42061327436339,-2.12606855181051,0.0334975519975297,0.0804018962743176
"ENSG00000286452",9.83816811301781,-2.97066447675416,1.471486609297,-2.01881855939782,0.0435060813240474,0.0957133789129042
"ENSG00000231107",14.7318188032168,-2.31297775430763,1.27705639238863,-1.81117902709166,0.0701131436133947,0.129222368099359
"ENSG00000171517",12.7955509425946,-1.60003099406669,1.17321669520516,-1.36379835081268,0.172631039497343,0.232521523719579
"ENSG00000214146",11.811931390667,-1.38681394397223,1.19905479080849,-1.156589302343,0.24744019495879,0.298447603568716
"ENSG00000151365",8.75248383382963,-1.9291765108338,1.18207912629605,-1.63201977593388,0.102675320231743,0.15952380261994
"ENSG00000287951",9.12526107565208,-2.9974629506567,1.38347787039415,-2.16661430934398,0.0302642753855252,0.0770618123242539
"ENSG00000285576",9.05297057453027,-2.67828389076333,1.45328423336535,-1.84291814999001,0.0653409618788123,0.123073729566256
"ENSG00000250041",17.9698352324613,-2.469517569215,1.35543025266249,-1.8219436701845,NA,NA
"ENSG00000211747",16.9604085846888,-2.38951950164896,1.39680496138676,-1.71070376158788,0.0871358129606889,0.144351497374635
"ENSG00000205361",11.7553426710309,-1.12419199330289,1.29075608364908,-0.870956184165102,0.383778077577716,0.417150084323604
"ENSG00000167749",7.2628300217261,-2.09001306236403,1.57475230325347,-1.32720114652064,NA,NA
"ENSG00000169393",7.34340709427078,-1.87793366752118,1.70367317538596,-1.10228516516717,NA,NA
"ENSG00000258602",17.9656406783386,-2.69390321608178,1.80218364131258,-1.49479950562627,NA,NA
"ENSG00000224041",9.37032072903587,-1.66175706407823,1.83459701179556,-0.905788602834273,0.365047754617338,0.402494169281809
"ENSG00000212766",13.2206763906316,-1.03509195677489,1.14479442144842,-0.904172781926448,0.36590379025619,0.402494169281809
"ENSG00000232258",8.99133082650032,-1.99332972352842,1.25787673786504,-1.58467810360469,0.113039489305462,0.171342704689822
"ENSG00000234710",5.33467706854577,-3.46612084484073,1.65548046440478,-2.09372500574143,0.0362844840643497,0.0852840437409929
"ENSG00000251546",6.40492371630696,-2.70073414265546,1.58857889189254,-1.70009444065946,0.0891131628292648,0.145869760583618
"ENSG00000253497",5.06983923662589,-3.32885779167624,3.00673495653036,-1.10713376463272,0.268236099243051,0.315234732016406
"ENSG00000202111",9.89530644831631,-4.47089434844405,1.6154814352798,-2.76753062635456,0.00564827381520806,0.0238965430643418
"ENSG00000286540",13.215356090148,-2.88676614119859,1.2461056024174,-2.31663041687508,0.0205238729775392,0.0581862378229204
"ENSG00000258451",16.204020678516,-2.51538273168181,1.72431937850012,-1.45876846426779,NA,NA
"ENSG00000254109",18.5278862930579,-1.55875846426363,1.16256310719222,-1.34079471008527,0.17998711419334,0.239113315957336
"ENSG00000211950",14.0507508118827,-1.61807567771331,1.62065983476527,-0.998405490778184,0.318082772166769,0.36295752010731
"ENSG00000228358",21.8886253541131,-2.42338582527132,1.4044989804151,-1.7254450583902,NA,NA
"ENSG00000282939",17.9900604434964,-1.61336756996983,1.25339926262229,-1.28719364857007,0.198026800493674,0.253290093654699
"ENSG00000230356",10.3266686891595,-1.78142382061273,1.327460988922,-1.34197828446875,NA,NA
"ENSG00000286722",13.249385722825,-1.25048498906108,1.30261848150242,-0.959977926628826,0.337066324329271,0.381453659220368
"ENSG00000228509",19.458874041024,-2.87569872926261,1.30811046208266,-2.19836077504049,NA,NA
"ENSG00000151224",12.8184337842612,-1.40504900124343,1.32573847478484,-1.059823659015,NA,NA
"ENSG00000152611",9.30320682827654,-2.0126510365802,1.34149184429525,-1.50030806757349,NA,NA
"ENSG00000227496",17.7939424645456,-3.46380433730066,1.57012867379067,-2.20606399661385,NA,NA
"ENSG00000143125",20.9988090142887,-1.27230194087693,1.04122558147917,-1.2219272783036,0.221735128770088,0.275914752994454
"ENSG00000091583",11.1787841134567,-1.62936596164307,1.41968502627379,-1.14769539122324,NA,NA
"ENSG00000242371",7.17057509122352,-3.12576499859223,1.6231482871919,-1.92574210456144,0.0541365837248307,0.109467356796533
"ENSG00000264151",8.47519638460237,-2.43005255214332,1.75811317520105,-1.38219347105765,NA,NA
"ENSG00000213355",16.281738098417,-4.23165873922191,1.70370084450519,-2.48380386314295,0.0129987381310613,0.0425553926909745
"ENSG00000147378",17.1334299643381,-2.94766933656625,1.36714033330962,-2.15608395476889,0.031077110154392,0.0784055531418146
"ENSG00000236069",20.6200737272261,-3.24859006511638,1.84560087154457,-1.760180175033,NA,NA
"ENSG00000236039",26.1895540285533,-2.53219695393099,1.33083645425144,-1.90271084462837,NA,NA
"ENSG00000211970",11.0796914280728,-1.69727939141946,1.73036151005033,-0.98088138320304,0.32665123907489,0.371194589857829
"ENSG00000271239",15.7038042179799,-1.4349220118586,1.11028076844698,-1.2923956287793,NA,NA
"ENSG00000137090",9.29264088808781,-2.70504171131893,1.38776553624466,-1.94920657753099,NA,NA
